Date,Recorded at,Scheduled for,Amount,Activity,Pending,Raw description,Description,Category folder,Category,Street address,City,State,Zip,Latitude,Longitude,Memo
2018/11/01,,,-1.00,Signature purchase,true,SQ *LANTERN COFFEE BAR,Lantern Coffee Bar,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/11/01,,,-4.50,Signature purchase,true,SQ *LANTERN COFFEE BAR,Lantern Coffee Bar,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/11/01,,,-3.15,Signature purchase,true,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/11/01,,,-5.00,Pin purchase,false,GOOGLE *GSUITE_thingstead,Gsuite_Thingstead,Business,Business Services,,Mountain View,CA,"",37.29119,-121.89304,
2018/11/01,,,-1.00,ACH,false,DEBIT FOR  SUBSCRIPTION     ACORNS      CO REF- JFS177,Subscription Acorns,Financial,Money Transfers,,,,,,,
2018/11/01,,,0.01,Interest credit,false,IOD INTEREST PAID,Interest Credit,Income,Interest,,,,,,,
2018/11/01,,,-1.59,Signature purchase,true,SQ *SQUIBB COFFEE AND W,Squibb Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/31,,,-8.90,Signature purchase,true,SQ *SQUIBB COFFEE AND W,Squibb Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/31,,,-1.37,Signature purchase,true,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/31,,,-4.77,Signature purchase,true,SQ *SQUIBB COFFEE AND W,Squibb Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/31,,,-20.00,Signature purchase,true,PAYIT  *GR PARKING,City Parking Meter,Transportation,Parking & Tolls,,Kansas City,MO,64108,39.08455,-94.58296,
2018/10/31,,,-4.77,Signature purchase,true,SQ *SQUIBB COFFEE AND W,Squibb Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/31,,,-3.15,Signature purchase,true,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/30,,,-14.99,Pin purchase,false,GOOGLE *Google Play,Google Play Movies,Culture,Movies,,Mountain View,CA,"",37.29119,-121.89304,
2018/10/30,,,-6.00,Signature purchase,false,"SQ *ROWSTER COFFEE, INC",Rowster Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/30,,,-6.00,Signature purchase,false,"SQ *ROWSTER COFFEE, INC",Rowster Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/30,,,-2.00,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/30,,,-35.00,Pin purchase,false,GOOGLE *YouTube TV,YouTube TV,Technology,Online Services,,Mountain View,CA,"",37.29119,-121.89304,
2018/10/30,,,-45.00,Signature purchase,false,SPECTRUM HEALTH KIOSK,Spectrum Health,Health & Medical,Doctor,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/30,,,-52.98,Signature purchase,false,Amazon.com,Amazon,Culture,Books,,,,,,,
2018/10/30,,,-8.41,Signature purchase,false,SQ *DEJA BREW COFFEE BA,Deja Brew Coffee Bar,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49525,43.0222,-85.61168,
2018/10/30,,,-1.02,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/30,,,-141.77,Signature purchase,false,SHIPT*ORDER,Shipt,Food & Drink,Groceries,,Birmingham,AL,35203,33.52066,-86.80249,
2018/10/29,,,-4.50,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/29,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/29,,,-5.25,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/29,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/29,,,-13.00,Signature purchase,false,PANERA BREAD #203738 E,Panera Bread,Food & Drink,Restaurants,,Grand Rapids,MI,49503,42.96336,-85.66809,
